Part,Standard Price (USD),German Car Price (+20%),Source,productType,category,productImageUrl,descriptionTemplate,titleTemplate,handleIdSlug,brand_placeholder,Weight (lbs)
Wiring Harness,500,600,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/b7ea06_d9ba7b8322bb4cc4b4f8ec139fb67c5f~mv2.png,"OEM engine/main wiring harness pulled from a {YEAR} {MAKE} {MODEL}, tested for continuity before listing. Good used condition with no cut or spliced wires found. Fitment note: confirm your exact engine option before purchasing, as wiring varies by engine.","Wiring Harness - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",wiring-harness,{MAKE},5
Fuel Tank,150,180,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_ddd7e5b90ce9485699bb522dda21ffc7~mv2.png;https://static.wixstatic.com/media/ed030f_443a8377e46143a59139e77d2b39932a~mv2.png,"OEM fuel tank pulled from a {YEAR} {MAKE} {MODEL}, pressure-checked for leaks and free of rust or dents. Comes with stock filler neck and vent lines. Fitment note: confirm your exact trim and drivetrain before purchasing, as tank shape/capacity may vary.","Fuel Tank - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",fuel-tank,{MAKE},20
Steering Rack & Pinion,200,240,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_404d8856a72241e290093d126c10410e~mv2.png,"Complete power-steering rack pulled from a {YEAR} {MAKE} {MODEL}, bench-tested for smooth operation with no play or binding. Fitment note: confirm your exact model year and drivetrain before purchasing.","Steering Rack & Pinion - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",steering-rack-pinion,{MAKE},15
Dashboard (Complete),500,600,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_b83b1412a48b48acbaac45d3f44e9e4d~mv2.png,"Full dash assembly from a {YEAR} {MAKE} {MODEL}, including gauge cluster housing and vents, crack-free and color-matched to the original interior. Airbag-compatible cut-outs intact (airbag module not included). Fitment note: dash color and trim vary by interior package - confirm before purchasing.","Dashboard (Complete) - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",dashboard-complete,{MAKE},25
Coolant Bottle (Reservoir),65,78,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_adc6919c13b84641801a2692d9ce8dce~mv2.png,"OEM coolant overflow reservoir from a {YEAR} {MAKE} {MODEL}, pressure cap included, no cracks or coolant staining. Fitment note: confirm your exact engine option before purchasing.","Coolant Bottle (Reservoir) - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",coolant-bottle-reservoir,{MAKE},1
Radiator,95,114,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/b7ea06_1892173e5f9145d3a7f1bbb3e4b9162a~mv2.png,"Aluminum-core OEM radiator pulled from a {YEAR} {MAKE} {MODEL}, pressure-tested with no leaks, fins intact. Fitment note: confirm your exact engine and towing package before purchasing, as radiator size may vary.","Radiator - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",radiator,{MAKE},12
Fuel Pump,175,210,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_56cae61d06f64e6ebba0c21e2d5e7c1b~mv2.png,"In-tank electric fuel pump module pulled from a {YEAR} {MAKE} {MODEL}, tested for correct flow rate and pressure before sale. Fitment note: confirm your exact model year and engine before purchasing.","Fuel Pump - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",fuel-pump,{MAKE},3
Latches (Door/Hood/Trunk),30,36,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_04508560a467452e8ea6833dac970cb8~mv2.png,"OEM latch assembly from a {YEAR} {MAKE} {MODEL}, mechanism tested for smooth engagement, includes striker where applicable. Priced per unit - specify location needed. Fitment note: specify door, hood, or trunk/liftgate when ordering.","Latches (Door/Hood/Trunk) - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",latches-door-hood-trunk,{MAKE},1
Trunk Gate / Liftgate / Tailgate,200,240,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_7c0e85524fc74d15adf85406ea9c1d18~mv2.png,"Complete trunk lid/rear liftgate/tailgate from a {YEAR} {MAKE} {MODEL} with hinges and latch, straight panel with no dents. Fitment note: confirm your exact body style before purchasing.","Trunk Gate / Liftgate / Tailgate - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",trunk-gate-trunk-lid,{MAKE},35
Transmission,1125,1350,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_7a52f19fe7d04b6fb3c380aab18ca3c7~mv2.png,"Complete transmission pulled from a {YEAR} {MAKE} {MODEL}, fluid-checked and shift-tested before listing. Fitment note: confirm your exact drivetrain and engine before purchasing, as transmission/transfer case setup differs.","Transmission - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",transmission,{MAKE},150
